,0,1,2,3,4
147,0.9350527108433736,0.8973434535104367,0.8973434535104367,0.8973434535104367,0.8973434535104367
154,0.9375,0.8850694444444445,0.8850694444444445,0.8850694444444445,0.8850694444444445
161,0.9329710144927537,0.8717147435897438,0.8717147435897438,0.8717147435897438,0.8717147435897438
169,0.9634199134199134,0.9407374890254611,0.9407374890254611,0.9407374890254611,0.9407374890254611
176,0.9511903178614177,0.936965811965812,0.936965811965812,0.936965811965812,0.936965811965812
184,0.9553343852409273,0.941277641277641,0.941277641277641,0.941277641277641,0.941277641277641
191,0.9657549728752258,0.8894395078605604,0.8894395078605604,0.8894395078605604,0.8894395078605604
198,0.932613551749814,0.9452185937666204,0.9452185937666204,0.9452185937666204,0.9452185937666204
206,0.9244444444444444,0.9311565696302125,0.9311565696302125,0.9311565696302125,0.9311565696302125
213,0.923725671918443,0.9240523713605567,0.9240523713605567,0.9240523713605567,0.9240523713605567
220,0.9504796473943481,0.9289121730982196,0.9289121730982196,0.9289121730982196,0.9289121730982196
228,0.8885457608085344,0.932359479199746,0.932359479199746,0.932359479199746,0.932359479199746
235,0.9308510638297872,0.8970959595959597,0.8970959595959597,0.8970959595959597,0.8970959595959597
242,0.9374865735767991,0.8799533799533799,0.8799533799533799,0.8799533799533799,0.8799533799533799
250,0.8743912337662336,0.9276467868700878,0.9276467868700878,0.9276467868700878,0.9276467868700878
257,0.8854458598726114,0.917405972760215,0.917405972760215,0.917405972760215,0.917405972760215
264,0.8269512195121951,0.9547592118578487,0.9547592118578487,0.9547592118578487,0.9547592118578487
272,0.9129947722180731,0.9401535682023486,0.9401535682023486,0.9401535682023486,0.9401535682023486
279,0.9380131362889982,0.9476351351351352,0.9476351351351352,0.9476351351351352,0.9476351351351352
287,0.904153686396677,0.9099848331648129,0.9099848331648129,0.9099848331648129,0.9099848331648129
294,0.9236857825567503,0.8247058823529412,0.8247058823529412,0.8247058823529412,0.8247058823529412
433,0.8977384794692487,0.9506058603216568,0.9506058603216568,0.9506058603216568,0.9506058603216568
573,0.905097405097405,0.9302604609308602,0.9302604609308602,0.9302604609308602,0.9302604609308602
712,0.9159725400457667,0.9562656282025006,0.9562656282025006,0.9562656282025006,0.9562656282025006
852,0.9547007851592694,0.9666379956644795,0.9474455227980224,0.9474455227980224,0.9474455227980224
991,0.9161847596919239,0.9804849188933351,0.9526983747405819,0.9526983747405819,0.9526983747405819
1131,0.9322728261084424,0.9566654806380834,0.9235070223061489,0.9235070223061489,0.9235070223061489
1270,0.9382475656992404,0.9171498553711963,0.9126682712344752,0.9126682712344752,0.9126682712344752
1410,0.9570692299347626,0.9183064648213576,0.9623015873015873,0.9623015873015873,0.9623015873015873
1549,0.91210428631461,0.9552896063874493,0.9685766563944531,0.9604803677174383,0.9604803677174383
1688,0.9453042094092676,0.9657027473175332,0.9425539441103643,0.9573672765280858,0.9573672765280858
1828,0.9396234456478139,0.9660449257922181,0.9459762334536703,0.9438845527330361,0.9438845527330361
1967,0.9400006480461409,0.9545428034476056,0.9704949992439462,0.9781242852942137,0.9781242852942137
2107,0.9745877799531478,0.9306218854799708,0.9560468370999927,0.9491228070175439,0.9491228070175439
2246,0.9269556446084806,0.9703725460707635,0.9569104691287039,0.9412793542988994,0.9431820456198172
2386,0.9459078562820403,0.9592410913366036,0.9550702631782616,0.9619506370307035,0.9733107351953728
2525,0.9495545472152284,0.9588087925871176,0.9619919157104779,0.9503183781882284,0.955404208398661
2665,0.9739190013259873,0.9666461623187995,0.9603876089921317,0.9806239821688992,0.9753928866832093
2804,0.9390027642622439,0.948888081779069,0.9567096692645293,0.9783707012735449,0.9587910039893757
2944,0.9451001237049637,0.9654495902273079,0.9303599041286531,0.9575382712231328,0.9776055357971238
