,0,1,2,3,4
959,0.6949684906138001,0.6075268817204301,0.6075268817204301,0.6075268817204301,0.6075268817204301
1007,0.6459899749373432,0.6044871794871796,0.6044871794871796,0.6044871794871796,0.6044871794871796
1055,0.6351025331724972,0.5931341564121648,0.5931341564121648,0.5931341564121648,0.5931341564121648
1103,0.6053359529255371,0.5691087049782702,0.5691087049782702,0.5691087049782702,0.5691087049782702
1151,0.6232351218633149,0.5797511312217195,0.5797511312217195,0.5797511312217195,0.5797511312217195
1199,0.6057385759829969,0.5536294691224269,0.5536294691224269,0.5536294691224269,0.5536294691224269
1247,0.5946775844421699,0.5582907730204939,0.5582907730204939,0.5582907730204939,0.5582907730204939
1295,0.5807430969706282,0.5427565392354124,0.5427565392354124,0.5427565392354124,0.5427565392354124
1343,0.566793893129771,0.5489421428261935,0.5489421428261935,0.5489421428261935,0.5489421428261935
1391,0.5695211786372008,0.5437030075187971,0.5437030075187971,0.5437030075187971,0.5437030075187971
1439,0.5719360568383659,0.5351922452952628,0.5351922452952628,0.5351922452952628,0.5351922452952628
1487,0.6112729955521586,0.5475875022208686,0.5475875022208686,0.5475875022208686,0.5475875022208686
1535,0.5703026309923067,0.5432569974554707,0.5432569974554707,0.5432569974554707,0.5432569974554707
1583,0.5570850202429151,0.5369761709120788,0.5369761709120788,0.5369761709120788,0.5369761709120788
1631,0.5428459119496855,0.5731093418259021,0.5731093418259021,0.5731093418259021,0.5731093418259021
1679,0.5575896262395118,0.5254237288135593,0.5254237288135593,0.5254237288135593,0.5254237288135593
1727,0.5899349112426036,0.533308383233533,0.533308383233533,0.533308383233533,0.533308383233533
1775,0.5272378043136166,0.5411807580174928,0.5411807580174928,0.5411807580174928,0.5411807580174928
1823,0.5393258426966291,0.548158640226629,0.548158640226629,0.548158640226629,0.548158640226629
1871,0.5852008000561914,0.5516559876234306,0.5516559876234306,0.5516559876234306,0.5516559876234306
1919,0.5563908393924009,0.5438338513439643,0.5438338513439643,0.5438338513439643,0.5438338513439643
2829,0.5539998426520703,0.544977384338908,0.544977384338908,0.544977384338908,0.544977384338908
3738,0.5180103471845758,0.5402014134791135,0.5402014134791135,0.5402014134791135,0.5402014134791135
4648,0.5351910479112044,0.5050936123348017,0.5050936123348017,0.5050936123348017,0.5050936123348017
5557,0.5023677512616177,0.5216003549842958,0.5178486398127693,0.5178486398127693,0.5178486398127693
6467,0.5121338105681026,0.5005957108816521,0.5032738095238094,0.5032738095238094,0.5032738095238094
7376,0.5018203883495145,0.5037274618585298,0.5138427199850063,0.5138427199850063,0.5138427199850063
8285,0.5081294518426759,0.5029420873335397,0.5037919826652221,0.5037919826652221,0.5037919826652221
9195,0.48696555732114316,0.5007662301476736,0.5037644200529456,0.5037644200529456,0.5037644200529456
10104,0.4980014032078891,0.5090575120344565,0.523298352491783,0.5303904066028226,0.5303904066028226
11014,0.5014518002322881,0.5006659439068837,0.5011062186329017,0.4975924379844012,0.4975924379844012
11923,0.5016059957173449,0.49912796650144553,0.4968632824902737,0.5024188346592131,0.5024188346592131
12833,0.5033664921241162,0.501361754120409,0.4922274342515869,0.5018498150184981,0.5018498150184981
13742,0.49528588684178865,0.4967306267995837,0.49732626184541534,0.49357798439250383,0.49357798439250383
14651,0.5021078156525868,0.5081335418304078,0.5349489536940004,0.4944169723168281,0.5108611206759153
15561,0.5036415516002872,0.4902490714296454,0.5026762187088273,0.5022556003405432,0.5011111111111112
16470,0.5046516226210462,0.500616704774224,0.5006415680130147,0.5005843396961435,0.5080279359654368
17380,0.47160163194876453,0.5025325661976393,0.5016978089363271,0.502117421336486,0.48344097504948835
18289,0.5070263655750761,0.5008764810338573,0.4907955700750464,0.4949733005215416,0.5019202054370134
19199,0.5028236420433623,0.5004681647940075,0.5008025682182985,0.5004681647940075,0.497544252254174
