mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_MLP__activation,param_MLP__alpha,param_MLP__hidden_layer_sizes,param_MLP__learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.05121135711669922,0.00936994158722045,0.0024025440216064453,0.0013607340912086675,relu,3,"(2, 2)",1e-06,"{'MLP__activation': 'relu', 'MLP__alpha': 3, 'MLP__hidden_layer_sizes': (2, 2), 'MLP__learning_rate_init': 1e-06}",0.49999999999999994,0.49999999999999994,0.5,0.49999999999999983,0.49999999999999994,0.5,8.599750569898517e-17,384,0.49999999999999994,0.49999999999999994,0.49999999999999994,0.5,0.49999999999999994,0.4999999999999999,7.021666937153402e-17
0.048811483383178714,0.005345606428259636,0.0012003421783447266,0.00040011481240812794,relu,3,"(2, 2)",0.0001,"{'MLP__activation': 'relu', 'MLP__alpha': 3, 'MLP__hidden_layer_sizes': (2, 2), 'MLP__learning_rate_init': 0.0001}",0.49999999999999994,0.49999999999999994,0.5,0.49999999999999983,0.49999999999999994,0.5,8.599750569898517e-17,384,0.49999999999999994,0.49999999999999994,0.49999999999999994,0.5,0.49999999999999994,0.4999999999999999,7.021666937153402e-17
0.060213565826416016,0.011925481290397201,0.0018009185791015626,0.00039954203981130515,relu,3,"(2, 2)",0.001,"{'MLP__activation': 'relu', 'MLP__alpha': 3, 'MLP__hidden_layer_sizes': (2, 2), 'MLP__learning_rate_init': 0.001}",0.49999999999999994,0.49999999999999994,0.5,0.49999999999999983,0.49999999999999994,0.5,8.599750569898517e-17,384,0.49999999999999994,0.49999999999999994,0.49999999999999994,0.5,0.49999999999999994,0.4999999999999999,7.021666937153402e-17
0.04801120758056641,0.0022810849663222553,0.0020009994506835936,0.0010964104822049601,relu,3,"(2, 2)",0.01,"{'MLP__activation': 'relu', 'MLP__alpha': 3, 'MLP__hidden_layer_sizes': (2, 2), 'MLP__learning_rate_init': 0.01}",0.49999999999999994,0.49999999999999994,0.5,0.49999999999999983,0.49999999999999994,0.5,8.599750569898517e-17,384,0.49999999999999994,0.49999999999999994,0.49999999999999994,0.5,0.49999999999999994,0.4999999999999999,7.021666937153402e-17
0.07461662292480468,0.017099696739520054,0.004801273345947266,0.005637382446568222,relu,3,"(2, 2)",0.1,"{'MLP__activation': 'relu', 'MLP__alpha': 3, 'MLP__hidden_layer_sizes': (2, 2), 'MLP__learning_rate_init': 0.1}",0.9265424462656564,0.9050719035101283,0.9209370650997373,0.8844750270604606,0.9018014535333229,0.9077655790938611,0.01490862354654539,196,0.9183527910932426,0.9185654089995361,0.9187625637853718,0.9052091387041906,0.9122525900726766,0.9146284985310036,0.005307153572360468
0.0844186782836914,0.020040617554101078,0.0014010429382324218,0.0004902922023577792,relu,3,"(2, 2)",0.5,"{'MLP__activation': 'relu', 'MLP__alpha': 3, 'MLP__hidden_layer_sizes': (2, 2), 'MLP__learning_rate_init': 0.5}",0.8735194062161744,0.8521416421833925,0.9021416421833927,0.8894696149683005,0.8518014535333229,0.8738147518169165,0.020009416131691653,302,0.8813418122777176,0.8742365084274005,0.9041035255914643,0.8894058295964126,0.8734807484150302,0.8845136848616051,0.011358712582946223
0.05541305541992188,0.004841755189488579,0.0014005184173583984,0.00048984533195118,relu,3,"(4, 4)",1e-06,"{'MLP__activation': 'relu', 'MLP__alpha': 3, 'MLP__hidden_layer_sizes': (4, 4), 'MLP__learning_rate_init': 1e-06}",0.5000927787227463,0.49560847379001083,0.49095407453224066,0.5000077315602287,0.4824184320395855,0.4938162981289623,0.00661881598908748,575,0.4898542600896861,0.49112610174733257,0.4945531158187722,0.4917079016545539,0.4965362610174733,0.49275552806556366,0.002437013355547428
0.09622335433959961,0.04741253063051892,0.001199054718017578,0.0004007585094483339,relu,3,"(4, 4)",0.0001,"{'MLP__activation': 'relu', 'MLP__alpha': 3, 'MLP__hidden_layer_sizes': (4, 4), 'MLP__learning_rate_init': 0.0001}",0.5147518169166537,0.49672955002319474,0.49655945569815985,0.5000077315602287,0.4824184320395855,0.49809339724756446,0.010306165260967877,561,0.5036087057368177,0.4938205504870883,0.5100316993969383,0.49313050873666303,0.4987996752744704,0.4998782279263955,0.006330875036554243
0.3088684558868408,0.07752239190310062,0.0016016960144042969,0.000490954349268206,relu,3,"(4, 4)",0.001,"{'MLP__activation': 'relu', 'MLP__alpha': 3, 'MLP__hidden_layer_sizes': (4, 4), 'MLP__learning_rate_init': 0.001}",0.8910236585743002,0.9071439616514612,0.9085201793721973,0.9013684861605071,0.9069738673264264,0.9030060306169785,0.006473497192549579,228,0.8907182619452606,0.9181807638781505,0.8985870573681768,0.9180937838255762,0.918093783825576,0.9087347301685481,0.011764180498932573
0.10562300682067871,0.014516576496255486,0.0014006137847900391,0.0004907406071874647,relu,3,"(4, 4)",0.01,"{'MLP__activation': 'relu', 'MLP__alpha': 3, 'MLP__hidden_layer_sizes': (4, 4), 'MLP__learning_rate_init': 0.01}",0.9168006803773001,0.9163677130044843,0.9317999072212773,0.9059378382557597,0.9224060615432195,0.9186624400804081,0.00845287120066524,86,0.9102481830833461,0.9376642956548631,0.9360909231482912,0.9308759857739292,0.9316935982681305,0.929314597185712,0.009871796039964863
