mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_KNN__metric,param_KNN__n_neighbors,param_KNN__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.026606082916259766,0.008430691037861697,0.4547018051147461,0.049676314173963065,manhattan,1,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 1, 'KNN__weights': 'uniform'}",0.9209370650997369,0.91214628111953,0.9042137003247256,0.8871424153394152,0.8910236585743002,0.9030926240915417,0.012662690711604616,2,1.0,0.9995689655172414,1.0,0.9997197309417042,0.9997197309417041,0.9998016854801299,0.00017102571236314514
0.032207059860229495,0.00986949770532126,0.4356977939605713,0.06098123917049255,manhattan,3,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 3, 'KNN__weights': 'uniform'}",0.9185248183083345,0.9143033864233802,0.8842972011751972,0.8737822792639552,0.9022344209061388,0.8986284212154013,0.017188886078119116,5,0.9454480439152619,0.9458152930261327,0.9533149064481211,0.9511172104530694,0.9459216019792794,0.9483234111643728,0.003257220299808742
0.05021114349365234,0.023570955448004364,0.3852877616882324,0.04639695928133911,manhattan,5,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 5, 'KNN__weights': 'uniform'}",0.9115432194216793,0.9107700633987936,0.8926627493428173,0.8823179217566103,0.8980980361837018,0.8990783980207204,0.011091456475686134,4,0.9255122158651615,0.9330775475490954,0.935663754445647,0.9362030307716098,0.9329035874439462,0.932672027215092,0.003818360469773806
0.035607099533081055,0.02779622528043435,0.9124054908752441,0.2023534629087766,manhattan,10,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 10, 'KNN__weights': 'uniform'}",0.882495747641874,0.8927555280655636,0.8757692902427712,0.8745631668470695,0.8783593629194371,0.880788619143343,0.006572250779906345,10,0.8901693211690118,0.9012679758775322,0.9046949899489717,0.8980361837018711,0.9067631823101902,0.9001863306015153,0.00582608880250461
0.0598142147064209,0.02371502446577901,0.6021349430084229,0.10874045565229297,manhattan,20,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 20, 'KNN__weights': 'uniform'}",0.8709447966599658,0.8766352249884025,0.8572367403742074,0.8355961032936445,0.869135611566414,0.8619096953765268,0.01459403836567199,13,0.8658806247100664,0.8688766042987474,0.8835317767125406,0.8778200865934747,0.8761384722436988,0.8744495129117056,0.006343248721875778
0.04400925636291504,0.029576310363820257,0.5733288764953614,0.06634519337733523,manhattan,40,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 40, 'KNN__weights': 'uniform'}",0.8409463429720117,0.8356888820163906,0.819305705891449,0.8083578166073911,0.8174114736353795,0.8243420442245243,0.012110710216856647,20,0.8248898252667388,0.828639631977733,0.846743080253595,0.8283593629194371,0.8392859904128652,0.8335835781660738,0.008160960347347946
0.03180713653564453,0.01750107806696481,1.2446805000305177,0.46536491889149056,manhattan,60,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 60, 'KNN__weights': 'uniform'}",0.816808411937529,0.8132750889129425,0.7968068656254834,0.7847379001082415,0.8012061233957012,0.8025668779959795,0.011579196156576396,21,0.7981444255450749,0.7990277563012216,0.8185325498685635,0.8096315911550952,0.8080794804391525,0.8066831606618216,0.0075175287054369
0.048009824752807614,0.027009780737668278,1.339502477645874,0.12920427468957912,euclidean,1,uniform,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 1, 'KNN__weights': 'uniform'}",0.9215401267975877,0.8947270759239213,0.9087830524199785,0.8957631049945878,0.891193752899335,0.9024014226070821,0.011274661105116808,3,1.0,0.9995689655172414,1.0,0.9997197309417042,0.9997197309417041,0.9998016854801299,0.00017102571236314514
0.03520779609680176,0.017874875996426204,0.8964022159576416,0.10590651295458299,euclidean,3,uniform,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 3, 'KNN__weights': 'uniform'}",0.9157646513066338,0.9004175042523582,0.90593783825576,0.8865393536415647,0.9098190814906448,0.9036956857893923,0.009932465536907293,1,0.9439809803618371,0.9448005257460955,0.9471702489562392,0.9474292562239061,0.9411995515695066,0.9449161125715169,0.002284630390410154
0.051012182235717775,0.04289050651775663,0.7587697982788086,0.19312736931299224,euclidean,5,uniform,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 5, 'KNN__weights': 'uniform'}",0.9021416421833927,0.891193752899335,0.8985232719962888,0.8812818926859438,0.9109401577238286,0.8968161434977578,0.010036804532768616,6,0.9266738827895469,0.9308547239832998,0.9305531931343746,0.9328591309726303,0.9285913097263025,0.9299064481212309,0.002107838222681094
0.03860878944396973,0.025363590233663576,0.8878004550933838,0.17234645210285948,euclidean,10,uniform,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 10, 'KNN__weights': 'uniform'}",0.900162362764806,0.8983531776712541,0.8793876604298747,0.8594711612803463,0.8962888510901499,0.8867326426472861,0.015516781022981171,9,0.9023426627493427,0.907385572908613,0.9071265656409464,0.9044553115818773,0.9012428483067881,0.9045105922375134,0.0024694110763509775
