mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_Boost__base_estimator__max_depth,param_Boost__learning_rate,param_Boost__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.02920680046081543,0.009110360963980607,0.001400327682495117,0.0004899018465690916,1,0.01,1,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 1}",0.7660275243544146,0.7455079635070356,0.7512834389979899,0.7529766506881087,0.748183083346219,0.7527957321787536,0.007096311546377477,394,0.7541518478428946,0.7592817380547393,0.7625773156022885,0.7927690582959642,0.7586129580949434,0.7654785835781661,0.013906976783790211
0.07561717033386231,0.016899440658387804,0.0028009891510009767,0.0016004801249343904,1,0.01,5,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 5}",0.7660275243544146,0.7455079635070356,0.7512834389979899,0.7529766506881087,0.748183083346219,0.7527957321787536,0.007096311546377477,394,0.7541518478428946,0.7592817380547393,0.7625773156022885,0.7927690582959642,0.7586129580949434,0.7654785835781661,0.013906976783790211
0.11482720375061035,0.005565267636224013,0.003000211715698242,0.0006316560775531267,1,0.01,10,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 10}",0.7660275243544146,0.7455079635070356,0.7512834389979899,0.7529766506881087,0.748183083346219,0.7527957321787536,0.007096311546377477,394,0.7541518478428946,0.7592817380547393,0.7625773156022885,0.7927690582959642,0.7586129580949434,0.7654785835781661,0.013906976783790211
0.23825411796569823,0.0262833585496081,0.005601644515991211,0.002871648140110175,1,0.01,20,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 20}",0.7660275243544146,0.7495593010669553,0.7512834389979899,0.7529766506881087,0.748183083346219,0.7536059996907375,0.0064166725760367496,393,0.7541518478428946,0.7651867171795266,0.7625773156022885,0.7927690582959642,0.7586129580949434,0.7666595794031235,0.013577411772388772
0.5351392745971679,0.02496300125204381,0.009584331512451172,0.001870862770112836,1,0.01,50,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 50}",0.80715169321169,0.7495593010669553,0.8101670017009434,0.8073217875367247,0.8053425081181381,0.7959084583268904,0.023225960249886386,392,0.8063978660893766,0.7651867171795266,0.8122796505334776,0.8063553425081181,0.8119568578939228,0.8004352868408843,0.017810652005931304
1.0686725616455077,0.08306713144909568,0.017002964019775392,0.0017893645387061648,1,0.01,100,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 100}",0.8192206587289314,0.80715169321169,0.8301685480129891,0.8107700633987937,0.8087057368176898,0.8152033400340188,0.008565023119444931,389,0.816591928251121,0.8199319622699859,0.8251681614349774,0.8112474872429256,0.8180783207051182,0.8182035719808256,0.004527538791240854
2.1653184413909914,0.03475520124543755,0.03300833702087402,0.0030347078960168876,1,0.01,200,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 200}",0.862409154167311,0.8411164372970464,0.8820627802690583,0.8472321014380699,0.8599969073759084,0.8585634761094787,0.014155285063684636,377,0.8563534096180608,0.8588313746714086,0.8720407453224059,0.8642202721509201,0.86344325034792,0.8629778104221432,0.005384658762196174
5.347100687026978,0.09070149862156271,0.07401690483093262,0.005587144068768083,1,0.01,500,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 500}",0.9228390289160353,0.9039585588371734,0.917921756610484,0.8785217256842428,0.9016313592082883,0.9049744858512447,0.015483738843887151,314,0.9034618060924695,0.9075788619143342,0.905249729395392,0.920446111025205,0.9127725374980672,0.9099018091850937,0.0061308229882744295
0.028406143188476562,0.012740710683488012,0.001599884033203125,0.0004897665366468215,1,0.1,1,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.1, 'Boost__n_estimators': 1}",0.7660275243544146,0.7455079635070356,0.7512834389979899,0.7529766506881087,0.748183083346219,0.7527957321787536,0.007096311546377477,394,0.7541518478428946,0.7592817380547393,0.7625773156022885,0.7927690582959642,0.7586129580949434,0.7654785835781661,0.013906976783790211
0.06321706771850585,0.005742859613479047,0.0015995502471923828,0.0004901803652372484,1,0.1,5,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.1, 'Boost__n_estimators': 5}",0.80715169321169,0.7944796659965978,0.8197386732642647,0.8107700633987937,0.8052574609556208,0.8074795113653933,0.00818725516306067,391,0.8063978660893766,0.8131649141796814,0.8080137621772071,0.8108164527601671,0.806871424153394,0.8090528838719653,0.002565409452743866
0.11122684478759766,0.006014354585282839,0.003000640869140625,2.1986278311535843e-06,1,0.1,10,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.1, 'Boost__n_estimators': 10}",0.8192206587289314,0.7779263955466211,0.8197386732642649,0.815942477191897,0.8069815988866552,0.8079619607236739,0.015698625207153327,390,0.8150185557445493,0.7927767898561928,0.8118718107314056,0.814889052110716,0.8129059069120148,0.8094924230709758,0.008442600294474448
