param_Boost__n_estimators,train acc,test acc
1,0.7228604991978326,0.694476808925426
5,0.7212690734792992,0.6964408244962845
10,0.7213261526930038,0.6944223022119888
20,0.7238389431380482,0.6950780760291245
50,0.7299008029979165,0.7013522341543903
100,0.7309529137905648,0.705920316022829
200,0.7309529137905648,0.705920316022829
500,0.7309529137905648,0.705920316022829
