,train,test
0.1,0.004063821399904554,0.002054009599942219
0.2,0.008416176599894243,0.0019046131998038617
0.3,0.01150997360018664,0.0016854533999321574
0.4,0.015152888800002984,0.0009389142001055006
0.5,0.02075271160001648,0.0006558700000823592
0.6,0.023404030799883912,0.0005644796000524366
0.7,0.028620656999919447,0.0005105216000629298
0.8,0.03445355859994379,0.00042439979997652697
0.9,0.03995417179994547,0.0003036178000911605
