mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_KNN__metric,param_KNN__n_neighbors,param_KNN__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.10662403106689453,0.018384855082407413,3.16251220703125,1.4837719989849523,manhattan,1,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 1, 'KNN__weights': 'uniform'}",0.6004662011706403,0.6159635504046092,0.6103297028835022,0.6020100479727217,0.6111524203874011,0.6079839393046409,0.00585541662865394,19,0.9994621986652712,0.9992441586573335,0.9992615745016041,0.9992615745016041,0.9994288758889591,0.9993316764429544,9.37781530893799e-05
0.18744287490844727,0.06691044592848525,6.921959018707275,0.1859482352429164,manhattan,3,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 3, 'KNN__weights': 'uniform'}",0.6182912437689162,0.6252747020219882,0.6257402218171596,0.6336956226024975,0.6236291665847205,0.6253259689456058,0.0049517985153814574,9,0.762630717330069,0.7598702132233153,0.7598137849430767,0.7617295120661488,0.7645242837475816,0.7617137022620384,0.0017747491386989052
0.289865779876709,0.16890226906318537,6.838539266586304,0.5217498558225153,manhattan,5,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 5, 'KNN__weights': 'uniform'}",0.6264208029680534,0.6348254149625318,0.6238577383597379,0.6363073700247571,0.6326940523214972,0.6308208143419257,0.004847596712839178,3,0.7075907404124877,0.7007146369668049,0.7086548053849475,0.7123587743912954,0.7099946121198587,0.7078627138550788,0.003912951119105256
0.3020684242248535,0.15574843356047255,11.269938325881958,1.0781549774021084,manhattan,10,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 10, 'KNN__weights': 'uniform'}",0.6084247628574263,0.6250147364220874,0.619787463007802,0.6237572284039623,0.6201779719607929,0.6194319428133682,0.005860746879025137,15,0.6499655738485594,0.6479972857737385,0.6504069237208538,0.6486771965548562,0.6485391987171857,0.6491172357230387,0.0009126907302616926
0.39448862075805663,0.12678285048708193,18.057066488265992,1.262300911436445,manhattan,20,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 20, 'KNN__weights': 'uniform'}",0.6137318557536507,0.6229176302019569,0.6215263608141155,0.630129408457346,0.616803050313942,0.6210215331417622,0.005616863624612942,14,0.6382154784487032,0.6342151959980846,0.6405419738302218,0.6361406781984855,0.6396820914571872,0.6377590835865364,0.002316424351834158
0.5579246044158935,0.20435830480588218,14.085771369934083,2.6758333518923916,manhattan,40,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 40, 'KNN__weights': 'uniform'}",0.6121160677724338,0.6253412048498698,0.6153257278281083,0.6254749662195862,0.6118929616557462,0.6180301949612371,0.006145430823853085,17,0.6258258827588997,0.6238284715072457,0.6279155890875469,0.6256640873213425,0.6284214471508529,0.6263310955651775,0.001663938498050688
0.42029433250427245,0.2805723597654975,16.016341829299925,3.797814554751243,manhattan,60,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 60, 'KNN__weights': 'uniform'}",0.6086811332073139,0.6238539597899719,0.6109493883251262,0.618888919117447,0.6095366939837387,0.6143819832363538,0.005963085064820445,18,0.6193988174449266,0.6142749125030975,0.6197413539269445,0.6192063442298938,0.6200445088899392,0.6185331873989603,0.0021484468619299667
0.44249887466430665,0.10184824821666354,15.076571178436279,3.0446774625287665,euclidean,1,uniform,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 1, 'KNN__weights': 'uniform'}",0.609517610729074,0.6069645086499018,0.6112448724808275,0.6023259364051593,0.603274871672292,0.6066658201015783,0.0034502772601516063,20,0.9994621986652712,0.9992441586573335,0.9992615745016041,0.9992615745016041,0.9994288758889591,0.9993316764429544,9.37781530893799e-05
0.41474003791809083,0.05965215286839656,10.930256509780884,1.8572884757274335,euclidean,3,uniform,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 3, 'KNN__weights': 'uniform'}",0.6184194289438599,0.6242688467502788,0.6176722196527947,0.6250608349732325,0.627876625875122,0.6226591971891855,0.00396040531602014,12,0.7559549163397751,0.7554953877852669,0.7570363278292389,0.7616786581158126,0.7609450603730987,0.7582220700886385,0.0025823804556687345
0.31687116622924805,0.15193256546298325,6.151385164260864,0.6794183440922457,euclidean,5,uniform,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 5, 'KNN__weights': 'uniform'}",0.6276939663313705,0.6348896506485537,0.6218354478209743,0.6329905414841617,0.6399542311709124,0.6314722566468263,0.00621384277622978,2,0.7062260720846226,0.6988441894641669,0.7056523358780673,0.7057686724580594,0.7094341853690211,0.7051850910507875,0.0034613396815912274
0.3394766807556152,0.11720422318407105,11.322970962524414,1.9342495072931611,euclidean,10,uniform,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 10, 'KNN__weights': 'uniform'}",0.6162948037406901,0.6234095999854903,0.6155554648698811,0.6255067062056208,0.6254379077452498,0.6212405155467196,0.004411455614297449,13,0.64919644597269,0.6456510440192392,0.6549182887481158,0.6481045680043132,0.6547399759044126,0.6505220645297541,0.0036998907704361
