mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_DT__class_weight,param_DT__criterion,param_DT__max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.1046356201171875,0.018677466843283263,0.0052030086517333984,0.002941446915160953,balanced,gini,1,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 1}",0.6883659739630473,0.6937869733051603,0.6784429571993845,0.6940386260515758,0.6847995899161323,0.6878869726863953,0.0058583566214431455,5,0.6877679085592537,0.6864122291601984,0.6902492577362447,0.6863495336954937,0.6886584949854806,0.6878874848273343,0.0014648139396156988
0.12923111915588378,0.01757333113208974,0.005000495910644531,0.0008936697968486862,balanced,gini,2,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 2}",0.6883659739630473,0.6937869733051603,0.6784429571993845,0.6940386260515758,0.6847995899161323,0.6878869726863953,0.0058583566214431455,5,0.6877679085592537,0.6864122291601984,0.6902492577362447,0.6863495336954937,0.6886584949854806,0.6878874848273343,0.0014648139396156988
0.18414731025695802,0.022209806992857902,0.004200601577758789,0.0007488000528408465,balanced,gini,3,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 3}",0.7042833491738981,0.7054483953169918,0.692196195433674,0.7037790231943727,0.7005548134173873,0.7012525106629213,0.004809992411487812,3,0.7004612546822779,0.7000522522568201,0.7036684491872508,0.700587261953871,0.7013931788530616,0.7012324793866563,0.0012933524149377302
0.22695646286010743,0.022495539731464925,0.0036257266998291015,0.0005119852239158473,balanced,gini,5,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 5}",0.707532301908574,0.7012337785999946,0.6930962507519354,0.7073543059069625,0.698680011033737,0.7015796984856938,0.005464099962271881,2,0.7112751228544796,0.7144842632336521,0.7130617540800591,0.7115842023553559,0.7091695063868042,0.7119149697820701,0.0017873311669930356
0.34020085334777833,0.028302283481400594,0.0033769607543945312,0.000462694729381782,balanced,gini,10,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 10}",0.6869187910400325,0.6849141357806373,0.6739774434499249,0.6905419375901188,0.676592995795783,0.6825894909727678,0.006285060862361395,10,0.7673835765856439,0.7779178542495706,0.7823950961895502,0.771818875975427,0.773214405136093,0.774545961627257,0.005166979225026919
0.46653213500976565,0.03187416085419499,0.0039064884185791016,0.0006636001240446543,balanced,gini,20,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 20}",0.6528368965789919,0.6421354360318366,0.6281819335999492,0.6453872731724569,0.6260144305951209,0.6389123115984204,0.010273361757292305,19,0.9512643819456229,0.9540379099468894,0.9608077446527333,0.9471615094850767,0.9631337953711332,0.955281068280291,0.0059298553316403275
0.46161479949951173,0.021510233020168985,0.004502296447753906,0.0006309434248560033,balanced,gini,50,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 50}",0.6070796999509924,0.6119242593247545,0.5997897603782197,0.615781423341888,0.6070140125435638,0.608317833844859,0.005379078001165385,31,0.9997659176029964,0.9996656189393432,0.9994649903029492,0.9995987427272119,0.999799371363606,0.9996589281872215,0.00012037439893709549
0.46366167068481445,0.04221093252074665,0.004601240158081055,0.0007999543296837732,balanced,gini,100,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 100}",0.6070796999509924,0.6119242593247545,0.5974999471000232,0.615781423341888,0.6070140125435638,0.6078598711892197,0.006130618049022524,32,0.9997659176029964,0.9996656189393432,0.9995987427272119,0.9995987427272119,0.999799371363606,0.9996856786720739,8.352535428083743e-05
0.08658080101013184,0.013855225993893699,0.0041048526763916016,0.0015580480665074406,balanced,entropy,1,"{'DT__class_weight': 'balanced', 'DT__criterion': 'entropy', 'DT__max_depth': 1}",0.6883659739630473,0.6937869733051603,0.6784429571993845,0.6940386260515758,0.6847995899161323,0.6878869726863953,0.0058583566214431455,5,0.6877679085592537,0.6864122291601984,0.6902492577362447,0.6863495336954937,0.6886584949854806,0.6878874848273343,0.0014648139396156988
0.13698959350585938,0.016813259092964876,0.004801559448242188,0.0007491694105399688,balanced,entropy,2,"{'DT__class_weight': 'balanced', 'DT__criterion': 'entropy', 'DT__max_depth': 2}",0.6883659739630473,0.6937869733051603,0.6784429571993845,0.6940386260515758,0.6847995899161323,0.6878869726863953,0.0058583566214431455,5,0.6877679085592537,0.6864122291601984,0.6902492577362447,0.6863495336954937,0.6886584949854806,0.6878874848273343,0.0014648139396156988
0.22203545570373534,0.026392035363562355,0.004401350021362304,0.0013571061686442224,balanced,entropy,3,"{'DT__class_weight': 'balanced', 'DT__criterion': 'entropy', 'DT__max_depth': 3}",0.7042833491738981,0.7054483953169918,0.6920624340639576,0.7037790231943727,0.7005548134173873,0.701225758388978,0.004860395435257717,4,0.7004612546822779,0.7000522522568201,0.7035507190247832,0.700587261953871,0.7013931788530616,0.7012089333541628,0.0012491049930465844
0.2987369060516357,0.02551799448428703,0.00380091667175293,0.0007491063555508375,balanced,entropy,5,"{'DT__class_weight': 'balanced', 'DT__criterion': 'entropy', 'DT__max_depth': 5}",0.7074682093211021,0.7026409179808533,0.6920208697965315,0.7083601611786718,0.6990874726236744,0.701915875377529,0.005979944347873437,1,0.7109407194301886,0.7109028979917625,0.7125894398477132,0.7109154402340425,0.708768249114016,0.7108233493235445,0.0012141743762003505
