,train,test
0.1,0.018245965000005526,0.007383321399993292
0.2,0.035726258199883884,0.006504465399939363
0.3,0.05540868239995689,0.0052505654000015054
0.4,0.0743637542000215,0.004697564800062537
0.5,0.09311746780003886,0.005424362200119504
0.6,0.11140979319989128,0.0025712412001666963
0.7,0.13074246099995435,0.001972933999968518
0.8,0.14852992140004062,0.0007977801999913936
0.9,0.1705457941999157,0.0004911124000500422
