mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_DT__class_weight,param_DT__criterion,param_DT__max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.019615936279296874,0.0048070954395747125,0.0014002799987792968,0.0004896487146222906,balanced,gini,1,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 1}",0.8011751971547858,0.7817767125405907,0.7862532859130973,0.7529766506881087,0.748183083346219,0.7740729859285603,0.020285854091350478,29,0.7806981598886655,0.7855690428328436,0.7844286376990877,0.7927690582959642,0.7586129580949434,0.7804155713623009,0.01158192911912798
0.023206233978271484,0.0034877662603481794,0.001599884033203125,0.001200747711243806,balanced,gini,2,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 2}",0.8431807638781504,0.8238441317457862,0.8173728158342355,0.7884335858976339,0.8321478274315757,0.8209958249574763,0.018428657755539903,28,0.8213255760012369,0.823498144425545,0.8259567805783206,0.8344518323797744,0.8450807948043915,0.8300626256378537,0.00873037175073799
0.027431392669677736,0.0048218453359487904,0.0015026092529296874,0.00044704066209175263,balanced,gini,3,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 3}",0.8989562393691046,0.8692979743312199,0.8704190505644039,0.8402427709911858,0.8615354878614505,0.8680903046234728,0.01885756189801353,22,0.87574222978197,0.8788039276325963,0.8820589144889438,0.8898600587598579,0.8878305241997835,0.8828591309726302,0.00531907968747165
0.033412837982177736,0.002055506753576273,0.001201295852661133,0.000400472719937557,balanced,gini,5,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 5}",0.9229163445183236,0.891881861759703,0.9078320705118293,0.8665378073295188,0.8733493118911396,0.8925034792021028,0.02098281552937535,20,0.9101592701407143,0.918737436214628,0.919560847379001,0.9290880624710067,0.9244317303231793,0.9203954693057058,0.006325788801021269
0.047585153579711915,0.0009286768481295356,0.0019965171813964844,0.0020024939652314,balanced,gini,10,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 10}",0.9220581413329209,0.9051646822328744,0.9209370650997373,0.8798979434049788,0.8972321014380702,0.9050579867017163,0.01571899507630935,13,0.960427941858667,0.9671080098963971,0.9680570589144889,0.9709235348693367,0.9658168393381785,0.9664666769754137,0.003455222588467922
0.0668243408203125,0.0053157395698150275,0.0010007858276367188,9.36836371631074e-07,balanced,gini,20,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 20}",0.9112803463738982,0.8957631049945879,0.9182619452605536,0.8749806710994277,0.9018865006958403,0.9004345136848615,0.014881383209233075,14,0.9968745167774857,0.9911415648677904,0.997176047626411,0.9970040204113191,0.9977578475336324,0.9959907994433278,0.002443355120902697
0.06568007469177246,0.0041867618154521145,0.0012004375457763672,0.0003999473476551629,balanced,gini,50,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 50}",0.9072290088139785,0.8895546621308179,0.9114504406989331,0.8663599814442552,0.9042137003247255,0.895761558682542,0.016444211374727003,16,1.0,0.9997197309417041,1.0,0.9997197309417042,0.9997197309417041,0.9998318385650226,0.0001373032367030548
0.06833958625793457,0.006065488788251693,0.0018010616302490234,0.001600599363519481,balanced,gini,100,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 100}",0.9072290088139785,0.8895546621308179,0.9114504406989331,0.8663599814442552,0.9042137003247255,0.895761558682542,0.016444211374727003,16,1.0,0.9997197309417041,1.0,0.9997197309417042,0.9997197309417041,0.9998318385650226,0.0001373032367030548
0.01641249656677246,0.0008065037822758009,0.001000356674194336,9.221591761500223e-07,balanced,entropy,1,"{'DT__class_weight': 'balanced', 'DT__criterion': 'entropy', 'DT__max_depth': 1}",0.7660275243544146,0.7455079635070356,0.7512834389979899,0.7529766506881087,0.748183083346219,0.7527957321787536,0.007096311546377477,32,0.7541518478428946,0.7592817380547393,0.7625773156022885,0.7927690582959642,0.7586129580949434,0.7654785835781661,0.013906976783790211
0.02273592948913574,0.0018539704018577707,0.0013179302215576172,0.0004099232740266994,balanced,entropy,2,"{'DT__class_weight': 'balanced', 'DT__criterion': 'entropy', 'DT__max_depth': 2}",0.8543064790474717,0.8330988093397246,0.8146976959950519,0.7899567032627182,0.8321478274315757,0.8248415030153083,0.02149230732810914,27,0.8395411319004175,0.8444120148445956,0.8342546775939383,0.8319700015463122,0.8450807948043915,0.839051724137931,0.005262782152606876
0.028148555755615236,0.00164885890845768,0.0010009765625,2.229436822426025e-06,balanced,entropy,3,"{'DT__class_weight': 'balanced', 'DT__criterion': 'entropy', 'DT__max_depth': 3}",0.8978274315756919,0.8780810267511984,0.8623163754445649,0.8379155713623008,0.8590304623473015,0.8670341734962115,0.020022326092794494,23,0.8673882789546931,0.8718938456780578,0.8759393845678056,0.8866495283748261,0.881316684706974,0.8766375444564712,0.006792248421813184
0.03580737113952637,0.0009807859836685308,0.0010007381439208984,1.9073486328124998e-07,balanced,entropy,5,"{'DT__class_weight': 'balanced', 'DT__criterion': 'entropy', 'DT__max_depth': 5}",0.9112880779341271,0.9152543683315292,0.8867094479665998,0.8744626565640945,0.8792175661048399,0.8933864233802382,0.01674588737473285,19,0.9048863460646358,0.9096277253749806,0.9143884335858976,0.9180261326735737,0.9162459409308797,0.9126349157259934,0.004780440851957909
