,0,1,2,3,4
147,0.8959902108433734,0.9200189753320683,0.9200189753320683,0.9200189753320683,0.9200189753320683
154,0.8996212121212123,0.9432291666666667,0.9432291666666667,0.9432291666666667,0.9432291666666667
161,0.8967391304347826,0.9508814102564103,0.9508814102564103,0.9508814102564103,0.9508814102564103
169,0.9113275613275613,0.9456394498097747,0.9456394498097747,0.9456394498097747,0.9456394498097747
176,0.9100944274504589,0.9481837606837608,0.9481837606837608,0.9481837606837608,0.9481837606837608
184,0.92104624347615,0.948034398034398,0.948034398034398,0.948034398034398,0.948034398034398
191,0.9151220614828209,0.9543745727956253,0.9543745727956253,0.9543745727956253,0.9543745727956253
198,0.909318157642804,0.9515477076906711,0.9515477076906711,0.9515477076906711,0.9515477076906711
206,0.9055802469135802,0.947285601888277,0.947285601888277,0.947285601888277,0.947285601888277
213,0.9019462465245597,0.9377403405969603,0.9377403405969603,0.9377403405969603,0.9377403405969603
220,0.9062743064557948,0.9421586165772212,0.9421586165772212,0.9421586165772212,0.9421586165772212
228,0.9157776530039304,0.9441092410288981,0.9441092410288981,0.9441092410288981,0.9441092410288981
235,0.8989361702127658,0.9412136066547833,0.9412136066547833,0.9412136066547833,0.9412136066547833
242,0.9003222341568207,0.9269619269619269,0.9269619269619269,0.9269619269619269,0.9269619269619269
250,0.8984713203463203,0.9198864011624066,0.9198864011624066,0.9198864011624066,0.9198864011624066
257,0.8972611464968152,0.9112832687742097,0.9112832687742097,0.9112832687742097,0.9112832687742097
264,0.8828048780487805,0.925025299124948,0.925025299124948,0.925025299124948,0.925025299124948
272,0.8881197219509391,0.921409214092141,0.921409214092141,0.921409214092141,0.921409214092141
279,0.8970443349753694,0.923503861003861,0.923503861003861,0.923503861003861,0.923503861003861
287,0.8992211838006231,0.926061678463094,0.926061678463094,0.926061678463094,0.926061678463094
294,0.8985961768219832,0.925546218487395,0.925546218487395,0.925546218487395,0.925546218487395
433,0.9043728707190245,0.9233641771315269,0.9233641771315269,0.9233641771315269,0.9233641771315269
573,0.9033456533456533,0.9361158326251062,0.9361158326251062,0.9361158326251062,0.9361158326251062
712,0.9118660287081338,0.9480303340848534,0.9480303340848534,0.9480303340848534,0.9480303340848534
852,0.9200892675527556,0.9438416430808929,0.9420092473905879,0.9420092473905879,0.9420092473905879
991,0.9220924228733703,0.9462071339443225,0.9329633868254061,0.9329633868254061,0.9329633868254061
1131,0.9284281167842812,0.9465743541086006,0.9372270742358079,0.9372270742358079,0.9372270742358079
1270,0.9334773065212774,0.9451590654592851,0.9359813911811286,0.9359813911811286,0.9359813911811286
1410,0.9347838571966418,0.9439217746618482,0.9355476699226699,0.9355476699226699,0.9355476699226699
1549,0.941431748143998,0.9455639795489565,0.9399066746042863,0.935667855227036,0.935667855227036
1688,0.9452570451597687,0.9456402546869473,0.9374189364461737,0.9347303603511833,0.9347303603511833
1828,0.942122944243883,0.9419850581628559,0.9383398515844364,0.9375492927628476,0.9375492927628476
1967,0.937912859395589,0.9402755276175664,0.9390485602574904,0.9373645462366996,0.9373645462366996
2107,0.9379255646216931,0.9361205104700685,0.9392123965913335,0.9381680946552429,0.9381680946552429
2246,0.9377538887721026,0.9350900559936651,0.9403142757673475,0.9429535972959523,0.9438133376920563
2386,0.9360448446028368,0.937922214810365,0.9419986953493258,0.9437688188488853,0.9447307660592067
2525,0.9397858111232761,0.9399294205688251,0.9446402056381857,0.9437627387507033,0.9433580582121074
2665,0.9452324141240095,0.9426348027919006,0.9464582432205656,0.9461252691564974,0.944701007873051
2804,0.941833159733611,0.9451176878116995,0.9461083528933022,0.9454662205873805,0.942337757216766
2944,0.9439809803618371,0.9448005257460955,0.9471702489562392,0.9474292562239061,0.9411995515695066
